date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
12/25/2016,"	1.00",3.03E+07,9.26E+06,1.03E+07,5.42E+05,1.02E+07,7.71E+06,2.42E+06,81101.22
12/18/2016,0.96,2.96E+07,9.39E+06,1.03E+07,4.28E+05,9.42E+06,6.97E+06,2.36E+06,94011.78
12/11/2016,0.98,3.01E+07,9.01E+06,NaN,4.03E+05,1.07E+07,8.15E+06,2.49E+06,73342.82
12/4/2016,1,3.16E+07,1.10E+07,9.91E+06,4.28E+05,1.02E+07,7.19E+06,2.99E+06,65350.63
11/27/2016,1.21,2.29E+07,7.89E+06,7.34E+06,NaN,7.35E+06,5.69E+06,1.61E+06,48623.28
11/20/2016,1.27,2.50E+07,NaN,8.03E+06,4.08E+05,8.02E+06,6.21E+06,1.77E+06,44709.4
11/13/2016,1.36,2.41E+07,8.24E+06,7.76E+06,4.78E+05,7.60E+06,5.60E+06,1.96E+06,43104.31
11/6/2016,1.44,2.25E+07,7.80E+06,NaN,5.05E+05,7.10E+06,5.25E+06,1.81E+06,40918.74
10/30/2016,1.43,2.10E+07,7.10E+06,6.85E+06,4.53E+05,6.60E+06,4.66E+06,1.88E+06,66283.51
10/23/2016,1.34,2.48E+07,7.58E+06,8.11E+06,4.52E+05,8.62E+06,6.51E+06,2.02E+06,91798.83
10/16/2016,1.3,2.77E+07,8.81E+06,NaN,4.47E+05,9.59E+06,6.93E+06,2.58E+06,84553.37
10/9/2016,1.27,2.89E+07,9.55E+06,9.58E+06,4.91E+05,9.24E+06,6.85E+06,2.32E+06,69278.75
10/2/2016,1.23,2.96E+07,9.54E+06,9.12E+06,4.90E+05,1.05E+07,7.41E+06,2.98E+06,76030.52
9/25/2016,1.22,3.03E+07,1.06E+07,9.26E+06,4.93E+05,1.00E+07,7.44E+06,2.48E+06,91688.3
9/18/2016,1.15,3.14E+07,1.13E+07,9.48E+06,4.86E+05,1.00E+07,7.65E+06,2.31E+06,79996.5
9/11/2016,"	1.08",3.41E+07,1.30E+07,NaN,5.12E+05,1.03E+07,8.20E+06,2.02E+06,55304.06
9/4/2016,1.04,3.71E+07,1.46E+07,1.11E+07,NaN,1.09E+07,8.56E+06,2.21E+06,93326.07
8/28/2016,1.09,3.40E+07,1.26E+07,1.04E+07,5.64E+05,1.05E+07,8.50E+06,1.79E+06,159271.47
8/21/2016,1.1,3.36E+07,1.27E+07,9.91E+06,6.10E+05,1.04E+07,8.75E+06,1.45E+06,155008.66
8/14/2016,1.12,3.44E+07,1.24E+07,NaN,7.49E+05,1.04E+07,8.48E+06,1.81E+06,111938.56
8/7/2016,1.15,3.38E+07,1.22E+07,1.07E+07,7.55E+05,1.01E+07,8.39E+06,1.57E+06,181048.76
7/31/2016,1.23,3.12E+07,1.02E+07,1.04E+07,7.84E+05,9.83E+06,8.19E+06,1.43E+06,199967.39
7/24/2016,1.2,3.23E+07,1.03E+07,1.08E+07,9.48E+05,1.03E+07,8.32E+06,1.56E+06,387400.22
7/17/2016,1.15,3.27E+07,1.03E+07,1.06E+07,9.54E+05,1.08E+07,8.74E+06,1.63E+06,390478.73
7/10/2016,1.1,3.56E+07,1.15E+07,1.17E+07,1.27E+06,1.12E+07,8.99E+06,1.73E+06,454343.65
7/3/2016,1.06,4.00E+07,1.25E+07,1.33E+07,1.76E+06,1.24E+07,9.97E+06,1.89E+06,551693.65
6/26/2016,1.04,3.66E+07,1.22E+07,1.20E+07,1.63E+06,1.08E+07,8.84E+06,1.61E+06,328589.09
6/19/2016,1.02,3.85E+07,1.35E+07,1.28E+07,1.64E+06,1.05E+07,8.22E+06,1.98E+06,317018.94
6/12/2016,1.04,3.56E+07,1.23E+07,1.15E+07,1.61E+06,1.02E+07,8.04E+06,1.80E+06,311439.99
6/5/2016,0.97,4.02E+07,1.38E+07,1.34E+07,1.77E+06,1.13E+07,8.49E+06,2.44E+06,321033.23
5/29/2016,0.94,4.00E+07,1.37E+07,1.38E+07,NaN,1.09E+07,8.09E+06,2.66E+06,180120.85
5/22/2016,0.93,3.70E+07,1.17E+07,1.30E+07,1.64E+06,1.06E+07,7.84E+06,2.56E+06,224991.99
5/15/2016,0.89,3.99E+07,1.25E+07,1.44E+07,NaN,1.13E+07,7.99E+06,3.14E+06,146047.01
5/8/2016,0.82,4.63E+07,1.42E+07,1.79E+07,1.99E+06,1.22E+07,8.75E+06,3.34E+06,120650.09
5/1/2016,0.84,4.29E+07,1.38E+07,1.59E+07,1.41E+06,1.18E+07,8.38E+06,3.37E+06,62734.87
4/24/2016,0.87,3.96E+07,1.29E+07,1.44E+07,1.60E+06,1.07E+07,7.84E+06,2.80E+06,75010.64
4/17/2016,0.9,3.75E+07,NaN,1.29E+07,1.90E+06,1.07E+07,8.13E+06,2.47E+06,125169.4
4/10/2016,0.9,3.66E+07,1.29E+07,NaN,1.67E+06,1.05E+07,7.81E+06,2.61E+06,77737.02
4/3/2016,0.94,3.37E+07,1.13E+07,1.15E+07,1.73E+06,9.10E+06,6.83E+06,2.21E+06,59188.81
3/27/2016,0.94,3.59E+07,1.13E+07,1.28E+07,1.88E+06,1.01E+07,7.75E+06,2.23E+06,82386.14
3/20/2016,0.93,3.63E+07,NaN,1.37E+07,1.77E+06,9.70E+06,7.25E+06,2.37E+06,77638.79
3/13/2016,0.93,3.64E+07,1.17E+07,1.31E+07,1.80E+06,9.81E+06,7.23E+06,2.52E+06,55589
3/6/2016,0.95,3.51E+07,1.18E+07,1.22E+07,1.69E+06,9.36E+06,7.50E+06,1.75E+06,106815.12
2/28/2016,0.91,3.68E+07,1.19E+07,1.32E+07,1.56E+06,1.01E+07,7.25E+06,2.80E+06,69494.92
2/21/2016,0.94,3.28E+07,NaN,1.20E+07,1.38E+06,9.41E+06,7.21E+06,2.15E+06,45654.02
2/14/2016,0.88,3.65E+07,1.19E+07,1.32E+07,1.81E+06,9.56E+06,7.10E+06,2.39E+06,74421.62
2/7/2016,0.76,5.23E+07,1.66E+07,2.05E+07,2.55E+06,1.27E+07,9.08E+06,3.37E+06,241661.48
1/31/2016,0.93,3.47E+07,1.11E+07,1.33E+07,1.64E+06,8.70E+06,6.69E+06,1.82E+06,192999.8
1/24/2016,0.95,3.28E+07,7.02E+06,1.41E+07,1.44E+06,1.03E+07,7.44E+06,2.67E+06,165014.74
1/17/2016,0.94,3.44E+07,1.00E+07,1.38E+07,1.42E+06,9.14E+06,6.85E+06,2.23E+06,63337.4
1/10/2016,0.93,3.53E+07,NaN,1.32E+07,1.28E+06,9.31E+06,6.74E+06,2.53E+06,50874.09
1/3/2016,0.86,3.81E+07,NaN,1.61E+07,1.56E+06,8.91E+06,6.47E+06,2.29E+06,159083.8
