,date_time,close
0,2017-11-17 15:35:17,26.552
1,2017-11-17 15:40:06,26.552
2,2017-11-17 15:45:05,26.388
3,2017-11-17 15:50:34,26.378
4,2017-11-17 15:55:06,26.383
5,2017-11-17 16:00:18,26.452
6,2017-11-17 16:05:20,26.373
7,2017-11-17 16:10:05,26.388
8,2017-11-17 16:15:07,26.369
9,2017-11-17 16:20:29,26.388
10,2017-11-17 16:25:00,26.467
11,2017-11-17 16:30:18,26.482
12,2017-11-17 16:35:08,26.492
13,2017-11-17 16:40:46,26.527
14,2017-11-17 16:45:55,26.522
15,2017-11-17 16:50:05,26.547
16,2017-11-17 16:55:02,26.567