,ride_id,duration,station_A_id,,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
0,0,11,16,,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5504,Subscriber,1988,Male,27,3/4/2018
1,1,8,3,Powell St BART,Station (Market St at 4th St),93,4th St at Mission Bay Blvd S,2915,Subscriber,1988,Male,27,3/27/2017
2,2,11,15,San Francisco Ferry,Building (Harry Bridges Pl...,67,San Francisco Caltrain Station 2  (Townsend St...,5340,Customer,1988,Male,26,6/30/2019
3,3,7,21,Montgomery St BART,Station (Market St at 2nd St),50,2nd St at Townsend St,746,Subscriber,1969,Male,27,11/16/2018
4,4,11,81,,Berry St at 4th St,21,Montgomery St BART Station (Market St at 2nd St),5477,Subscriber,1986,Male,26,11/1/2017
5,5,5,21,Montgomery St BART,Station (Market St at 2nd St),37,2nd St at Folsom St,223,Subscriber,1963,Male,27,5/3/2018
6,8,2,81,,Berry St at 4th St,80,Townsend St at 5th St,3624,Subscriber,1995,Male,27,7/18/2018
7,9,3,15,San Francisco Ferry,Building (Harry Bridges Pl...,8,The Embarcadero at Vallejo St,4606,Subscriber,1967,Male,26,9/6/2017
8,10,4,67,San Francisco Caltr,ain Station 2  (Townsend St...,36,Folsom St at 3rd St,4741,Subscriber,1983,Male,27,6/11/2017
9,11,9,21,Montgomery St BART,Station (Market St at 2nd St),81,Berry St at 4th St,530,Customer,1991,Male,26,3/12/2017
10,13,5,21,Montgomery St BART,Station (Market St at 2nd St),343,Bryant St at 2nd St,5276,Subscriber,1981,Female,27,4/14/2017
11,15,31,15,San Francisco Ferry,Building (Harry Bridges Pl...,15,San Francisco Ferry Building (Harry Bridges Pl...,5011,Customer,1983,Female,26,1/25/2017
12,16,4,81,,Berry St at 4th St,92,Mission Bay Kids Park,236,Subscriber,1978,Female,26,4/19/2019
13,18,4,21,Montgomery St BART,Station (Market St at 2nd St),50,2nd St at Townsend St,5312,Subscriber,1984,Male,26,7/13/2017
14,21,4,21,Montgomery St BART,Station (Market St at 2nd St),343,Bryant St at 2nd St,4762,Subscriber,1993,Male,26,2/14/2017
15,22,5,16,,Steuart St at Market St,6,The Embarcadero at Sansome St,5487,Subscriber,1987,Male,27,1/6/2019
16,24,8,16,,Steuart St at Market St,49,S Park St at 3rd St,5458,Subscriber,1979,Female,26,6/12/2019
17,25,11,15,San Francisco Ferry,Building (Harry Bridges Pl...,91,Berry St at King St,4597,Subscriber,1974,Male,26,3/1/2019
18,26,3,16,,Steuart St at Market St,24,Spear St at Folsom St,4757,Subscriber,1988,Male,26,6/15/2017
19,29,68,3,Powell St BART,Station (Market St at 4th St),371,Lombard St at Columbus Ave,4658,Subscriber,1988,Male,26,7/25/2017
20,31,17,22,,Howard St at Beale St,356,Valencia St at Clinton Park,5325,Subscriber,1995,Male,26,5/30/2019
21,32,5,81,,Berry St at 4th St,104,4th St at 16th St,5030,Subscriber,1995,Female,26,8/19/2017
22,33,10,30,San Francisco Ca,ltrain (Townsend St at 4th St),59,S Van Ness Ave at Market St,5022,Subscriber,1979,Male,27,7/6/2019
23,34,9,22,,Howard St at Beale St,64,5th St at Brannan St,5334,Subscriber,1978,Male,26,7/31/2019
24,36,14,3,Powell St BART,Station (Market St at 4th St),91,Berry St at King St,5518,Subscriber,1990,Male,27,6/18/2018
25,37,8,3,Powell St BART,Station (Market St at 4th St),58,Market St at 10th St,3225,Subscriber,1994,Male,26,3/16/2018
26,38,14,5,Powell St BART,Station (Market St at 5th St),133,Valencia St at 22nd St,5448,Subscriber,1989,Female,27,8/19/2019
27,39,13,15,San Francisco Ferry,Building (Harry Bridges Pl...,58,Market St at 10th St,5012,Subscriber,1969,Male,26,10/18/2019
28,40,6,30,San Francisco Ca,ltrain (Townsend St at 4th St),24,Spear St at Folsom St,4711,Subscriber,1991,Male,26,1/31/2018
29,41,9,16,,Steuart St at Market St,30,San Francisco Caltrain (Townsend St at 4th St),4877,Subscriber,1982,Male,26,1/7/2019
30,42,37,5,Powell St BART,Station (Market St at 5th St),324,Union Square (Powell St at Post St),4934,Subscriber,1971,Male,27,1/9/2018
31,43,1,67,San Francisco Caltr,ain Station 2  (Townsend St...,66,3rd St at Townsend St,4947,Subscriber,1992,Male,27,3/14/2019
32,45,19,16,,Steuart St at Market St,99,Folsom St at 15th St,4980,Subscriber,1980,Male,27,9/8/2018
33,46,2,21,Montgomery St BART,Station (Market St at 2nd St),25,Howard St at 2nd St,5383,Subscriber,1982,Male,27,1/22/2018
34,48,4,21,Montgomery St BART,Station (Market St at 2nd St),26,1st St at Folsom St,5001,Subscriber,1980,Female,27,2/9/2018
35,49,8,67,San Francisco Caltr,ain Station 2  (Townsend St...,37,2nd St at Folsom St,5239,Subscriber,1986,Male,27,9/12/2018
36,50,8,3,Powell St BART,Station (Market St at 4th St),58,Market St at 10th St,5477,Subscriber,1989,Male,26,1/18/2019
37,52,4,21,Montgomery St BART,Station (Market St at 2nd St),343,Bryant St at 2nd St,5472,Subscriber,1993,Male,27,5/18/2018
38,54,9,5,Powell St BART,Station (Market St at 5th St),92,Mission Bay Kids Park,5393,Subscriber,1987,Male,26,2/22/2018
39,33,2,30,San Francisco Ca,ltrain (Townsend St at 4th St),59,S Van Ness Ave at Market St,5022,Subscriber,1979,Male,27,7/6/2019
40,56,11,67,San Francisco Caltr,ain Station 2  (Townsend St...,58,Market St at 10th St,5267,Subscriber,1973,Male,27,5/20/2017
41,58,4,81,,Berry St at 4th St,93,4th St at Mission Bay Blvd S,4638,Subscriber,1987,Male,26,5/2/2017
42,59,6,15,San Francisco Ferry,Building (Harry Bridges Pl...,6,The Embarcadero at Sansome St,5364,Subscriber,1995,Female,27,7/2/2017
43,60,6,67,San Francisco Caltr,ain Station 2  (Townsend St...,88,11th St at Bryant St,4597,Subscriber,1989,Male,26,4/22/2018
44,61,7,81,,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Pl...,5227,Subscriber,1985,Female,27,1/17/2020
45,62,1,15,San Francisco Ferry,Building (Harry Bridges Pl...,16,Steuart St at Market St,2926,Subscriber,1972,Male,26,2/24/2018
46,63,10,21,Montgomery St BART,Station (Market St at 2nd St),81,Berry St at 4th St,4383,Subscriber,1986,Male,27,10/27/2018
47,64,6,30,San Francisco Ca,ltrain (Townsend St at 4th St),22,Howard St at Beale St,1896,Subscriber,1978,Male,27,11/8/2018
48,65,8,15,San Francisco Ferry,Building (Harry Bridges Pl...,66,3rd St at Townsend St,5138,Subscriber,1987,Female,26,8/31/2018
49,66,16,30,San Francisco Ca,ltrain (Townsend St at 4th St),14,Clay St at Battery St,4445,Subscriber,1989,Male,26,2/27/2019
50,68,3,30,San Francisco Ca,ltrain (Townsend St at 4th St),321,5th St at Folsom,3494,Subscriber,1989,Male,26,12/8/2017
51,69,10,21,Montgomery St BART,Station (Market St at 2nd St),66,3rd St at Townsend St,5538,Subscriber,1975,Female,26,10/1/2019
52,70,8,67,San Francisco Caltr,ain Station 2  (Townsend St...,16,Steuart St at Market St,4940,Subscriber,1984,Male,27,10/31/2018
53,55,9,3,Powell St BART,Station (Market St at 4th St),115,Jackson Playground,4343,Subscriber,1985,Male,27,8/12/2017
54,72,10,21,Montgomery St BART,Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),4603,Subscriber,1990,Male,27,1/21/2018
55,73,9,21,Montgomery St BART,Station (Market St at 2nd St),64,5th St at Brannan St,3284,Subscriber,1992,Male,27,8/13/2019
56,74,9,16,,Steuart St at Market St,30,San Francisco Caltrain (Townsend St at 4th St),5296,Subscriber,1985,Male,27,1/18/2018
57,75,7,3,Powell St BART,Station (Market St at 4th St),58,Market St at 10th St,2651,Subscriber,1993,Male,27,2/1/2018
58,76,10,67,San Francisco Caltr,ain Station 2  (Townsend St...,16,Steuart St at Market St,2981,Subscriber,1988,Male,27,4/28/2017
59,77,7,67,San Francisco Caltr,ain Station 2  (Townsend St...,101,15th St at Potrero Ave,2984,Subscriber,1983,Male,27,1/8/2018
60,78,10,81,,Berry St at 4th St,21,Montgomery St BART Station (Market St at 2nd St),5549,Customer,1982,Male,27,6/2/2019
61,79,7,22,,Howard St at Beale St,30,San Francisco Caltrain (Townsend St at 4th St),5343,Customer,1987,Female,26,7/24/2019
62,80,9,81,,Berry St at 4th St,130,22nd St Caltrain Station,5528,Subscriber,1984,Male,26,2/20/2018
63,81,5,3,Powell St BART,Station (Market St at 4th St),16,Steuart St at Market St,2293,Subscriber,1988,Male,26,4/29/2018
64,88,5,21,Montgomery St BART,Station (Market St at 2nd St),343,Bryant St at 2nd St,5497,Subscriber,1977,Male,27,7/4/2017
65,55,9,3,Powell St BART,Station (Market St at 4th St),115,Jackson Playground,4343,Subscriber,1985,Male,27,8/12/2017
66,90,2,30,San Francisco Ca,ltrain (Townsend St at 4th St),50,2nd St at Townsend St,5354,Subscriber,1982,Male,27,3/4/2018
67,92,15,15,San Francisco Ferry,Building (Harry Bridges Pl...,93,4th St at Mission Bay Blvd S,2046,Subscriber,1965,Female,27,12/9/2017
68,93,9,30,San Francisco Ca,ltrain (Townsend St at 4th St),24,Spear St at Folsom St,5548,Subscriber,1942,Male,27,4/13/2018
69,94,25,21,Montgomery St BART,Station (Market St at 2nd St),119,18th St at Noe St,532,Subscriber,1993,Male,27,12/6/2019
70,95,11,30,San Francisco Ca,ltrain (Townsend St at 4th St),14,Clay St at Battery St,2047,Subscriber,1959,Male,27,12/22/2018
71,96,7,22,,Howard St at Beale St,30,San Francisco Caltrain (Townsend St at 4th St),5417,Subscriber,1991,Male,27,6/30/2017
72,98,21,67,San Francisco Caltr,ain Station 2  (Townsend St...,13,Commercial St at Montgomery St,1846,Subscriber,1989,Male,27,12/10/2018
73,99,15,30,San Francisco Ca,ltrain (Townsend St at 4th St),14,Clay St at Battery St,1194,Subscriber,1968,Male,27,11/11/2018
74,71,11,3,Powell St BART,Station (Market St at 4th St),44,Civic Center/UN Plaza BART Station (Market St ...,4805,Customer,1997,Male,27,2/3/2018
75,71,11,3,Powell St BART,Station (Market St at 4th St),44,Civic Center/UN Plaza BART Station (Market St ...,4805,Customer,1997,Male,27,2/3/2018
76,89,9,15,San Francisco Ferry,Building (Harry Bridges Pl...,81,Berry St at 4th St,5552,Subscriber,1986,Male,26,9/9/2018
77,89,9,15,San Francisco Ferry,Building (Harry Bridges Pl...,81,Berry St at 4th St,5552,Subscriber,2060,Male,26,9/9/2018
